Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2020,1,1,0,0,0,0,0,0,0,0.333,162.72,0.1,-11,-19.9,0,0,0,48.09,0.11,1012,318,3.1
2020,1,1,1,0,0,0,0,0,0,0.334,160.9,0.2,-11.4,-20,0,0,0,49.21,0.11,1012,321,3.2
2020,1,1,2,0,0,0,0,0,0,0.337,152.6,0.2,-11.7,-20,0,0,0,50.05,0.11,1012,322,3.3
2020,1,1,3,0,0,0,0,0,0,0.337,141.93,0.2,-12,-20.1,0,0,0,50.96,0.11,1012,323,3.3
2020,1,1,4,0,0,0,0,0,0,0.336,130.56,0.3,-12.3,-20.2,0,0,0,51.83,0.11,1011,325,3.3
2020,1,1,5,0,0,0,0,0,0,0.336,119.07,0.3,-12.6,-20.1,0,0,0,53.38,0.11,1011,328,2.8
2020,1,1,6,0,0,0,0,0,0,0.335,107.8,0.4,-12.9,-20,0,0,0,55.15,0.11,1011,333,2.3
2020,1,1,7,0,0,0,0,0,0,0.335,96.98,0.4,-13.1,-20,0,0,0,56.41,0.11,1011,338,2
2020,1,1,8,0,20,95,25,0,0,0.317,86.67,0.4,-11.5,-18.3,20,95,25,57.2,0.13,1018,354,1.3
2020,1,1,9,0,73,399,157,0,0,0.316,77.9,0.4,-8.8,-18.7,73,399,157,44.71,0.13,1018,0,2.2
2020,1,1,10,0,104,565,292,0,0,0.316,70.6,0.4,-6.1,-17.9,104,565,292,38.84,0.13,1018,356,1.8
2020,1,1,11,0,124,630,386,0,0,0.317,65.46,0.4,-3.2,-16.9,124,630,386,34.02,0.13,1017,348,1.6
2020,1,1,12,0,131,664,432,0,0,0.317,63.05,0.4,-1.3,-16,131,664,432,31.78,0.13,1016,356,1.1
2020,1,1,13,0,128,658,420,0,0,0.318,63.68,0.4,0,-15.2,128,658,420,30.93,0.13,1015,40,0.7
2020,1,1,14,0,112,637,358,0,0,0.32,67.27,0.4,0.5,-14.3,112,637,358,31.92,0.13,1015,101,1.1
2020,1,1,15,0,92,521,241,0,0,0.323,73.38,0.4,-0.3,-12.9,92,521,241,38.18,0.13,1015,123,1.5
2020,1,1,16,0,54,300,99,0,1,0.326,81.38,0.4,-3.6,-11.6,54,300,99,54.07,0.13,1015,136,1.2
2020,1,1,17,0,0,0,0,0,0,0.328,90.93,0.4,-5.9,-13.2,0,0,0,56.28,0.13,1016,151,1.2
2020,1,1,18,0,0,0,0,0,0,0.329,101.33,0.4,-6.6,-14.2,0,0,0,54.62,0.13,1017,164,1.1
2020,1,1,19,0,0,0,0,0,0,0.33,112.36,0.4,-6.5,-15.2,0,0,0,49.96,0.13,1017,171,1.1
2020,1,1,20,0,0,0,0,0,0,0.33,123.75,0.4,-6.1,-16,0,0,0,45.59,0.13,1017,171,0.9
2020,1,1,21,0,0,0,0,0,0,0.329,135.23,0.4,-5.9,-16.3,0,0,0,43.8,0.13,1017,166,0.6
2020,1,1,22,0,0,0,0,0,0,0.329,146.41,0.4,-5.8,-16.4,0,0,0,43.03,0.13,1017,173,0.3
2020,1,1,23,0,0,0,0,0,0,0.329,156.43,0.4,-5.8,-16.3,0,0,0,43.36,0.13,1017,325,0.2
2020,1,2,0,0,0,0,0,0,0,0.329,162.69,0.4,-6.3,-15.9,0,0,0,46.41,0.13,1017,342,0.7
2020,1,2,1,0,0,0,0,0,0,0.329,160.9,0.4,-7.1,-15.6,0,0,0,50.92,0.13,1017,346,1.1
2020,1,2,2,0,0,0,0,8,0,0.329,152.61,0.4,-8.1,-15.2,0,0,0,56.78,0.13,1017,344,1.3
2020,1,2,3,0,0,0,0,0,0,0.329,141.94,0.4,-8.8,-14.8,0,0,0,61.94,0.13,1017,338,1.4
2020,1,2,4,0,0,0,0,0,0,0.329,130.57,0.4,-9.3,-14.3,0,0,0,66.81,0.13,1017,333,1.6
2020,1,2,5,0,0,0,0,0,0,0.329,119.09,0.4,-9.7,-13.9,0,0,0,71.55,0.13,1017,329,1.9
