Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2019,1,1,0,0,0,0,0,4,0,0.251,163.35,1.3,3.1,3.1,0,0,0,100,0.1,956,59,1.1
2019,1,1,1,0,0,0,0,4,0,0.249,172.28,1.3,2.9,2.9,0,0,0,100,0.1,956,54,1.1
2019,1,1,2,0,0,0,0,4,0,0.248,165.92,1.3,3,3,0,0,0,100,0.1,955,47,1.2
2019,1,1,3,0,0,0,0,4,0,0.247,153.7,1.2,3.3,2.9,0,0,0,96.94,0.1,955,42,1.6
2019,1,1,4,0,0,0,0,4,0,0.246,140.86,1.2,3.3,2.6,0,0,0,95.01,0.1,954,43,2
2019,1,1,5,0,0,0,0,4,0,0.246,127.99,1.1,3.2,2.4,0,0,0,94.49,0.1,954,45,1.8
2019,1,1,6,0,0,0,0,4,0,0.245,115.29,1.1,3,2.3,0,0,0,95.02,0.1,955,45,1.7
2019,1,1,7,0,0,0,0,4,0,0.245,102.9,1.1,2.8,2.2,0,0,0,95.49,0.1,955,44,1.5
2019,1,1,8,0,0,0,0,4,0,0.288,91.03,1,-1,-2.9,0,0,0,87.07,0.87,964,97,0.5
2019,1,1,9,0,81,139,106,4,3,0.288,79.82,1,0.8,-2.1,50,0,50,80.81,0.87,965,88,1.1
2019,1,1,10,0,184,303,288,4,3,0.287,69.9,1,3.5,-1.9,128,16,133,67.66,0.87,964,105,1.8
2019,1,1,11,0,257,397,446,4,0,0.285,61.69,1,5.2,-2.1,213,116,268,59.46,0.87,963,114,2.1
2019,1,1,12,0,304,446,553,4,0,0.281,56.02,1,6,-2.1,260,210,377,56.02,0.87,962,110,2.2
2019,1,1,13,0,327,463,601,4,0,0.278,53.69,1,6.6,-2.1,208,13,215,53.8,0.87,960,103,2.4
2019,1,1,14,0,324,433,571,1,0,0.275,55.14,1,6.8,-2.1,324,433,571,53.15,0.87,959,97,2.6
2019,1,1,15,0,287,380,477,4,0,0.272,60.1,1,6.7,-2.1,172,8,177,53.53,0.87,959,91,2.8
2019,1,1,16,0,217,290,327,4,0,0.27,67.78,1,6,-2,116,0,116,56.7,0.87,959,88,2.7
2019,1,1,17,0,111,151,144,4,3,0.269,77.36,1,3.9,-0.6,48,0,48,72.34,0.87,960,86,1.5
2019,1,1,18,0,6,8,6,4,3,0.269,88.03,1.1,1.8,-1.5,6,0,6,78.99,0.87,961,84,1.2
2019,1,1,19,0,0,0,0,4,0,0.268,100.06,1.1,1.3,-1.8,0,0,0,79.76,0.87,962,85,1.1
2019,1,1,20,0,0,0,0,4,0,0.268,112.35,1.1,1,-2.1,0,0,0,79.92,0.87,963,89,1
2019,1,1,21,0,0,0,0,7,0,0.268,124.99,1.1,0.9,-2.1,0,0,0,80.35,0.87,963,95,0.9
