Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2019,1,1,0,0,0,0,0,4,0,0.251,165.75,1.8,7.2,3.9,0,0,0,79.56,0.09,994,102,3.1
2019,1,1,1,0,0,0,0,4,0,0.25,173.48,1.8,6.9,3.9,0,0,0,81.48,0.09,994,104,2.9
2019,1,1,2,0,0,0,0,4,0,0.249,164.44,1.8,6.8,4,0,0,0,82.41,0.09,993,106,2.8
2019,1,1,3,0,0,0,0,4,0,0.248,151.73,1.8,6.9,4.2,0,0,0,83.17,0.09,993,107,2.4
2019,1,1,4,0,0,0,0,4,0,0.247,138.7,1.8,6.9,4.5,0,0,0,84.93,0.09,992,106,1.9
2019,1,1,5,0,0,0,0,4,0,0.246,125.72,1.8,6.9,4.8,0,0,0,86.49,0.09,992,101,1.5
2019,1,1,6,0,0,0,0,4,0,0.245,112.94,1.8,6.9,5,0,0,0,87.6,0.09,992,98,1.2
2019,1,1,7,0,0,0,0,4,0,0.245,100.51,1.7,7,5,0,0,0,87.28,0.09,993,98,0.9
2019,1,1,8,0,6,11,7,4,3,0.28,88.28,1.1,0,-3.1,2,0,2,79.38,0.09,1004,145,1.5
2019,1,1,9,0,99,185,139,8,3,0.28,77.44,1.1,2.9,-2.9,16,0,16,65.66,0.09,1004,152,2.3
2019,1,1,10,0,180,330,306,4,0,0.28,67.61,1.1,5.8,-2.4,33,0,33,55.71,0.09,1004,149,1.3
2019,1,1,11,0,242,403,445,4,0,0.28,59.62,1.1,7.3,-1.8,40,0,40,52.29,0.09,1003,343,0.4
2019,1,1,12,0,274,445,533,4,0,0.279,54.33,1.1,7.8,-1.6,50,0,50,51.54,0.09,1002,333,0.7
2019,1,1,13,0,280,466,563,4,0,0.279,52.57,1.1,8.1,-1.4,61,0,61,51.12,0.09,1000,339,0.9
2019,1,1,14,0,278,437,531,4,0,0.279,54.69,1.1,8.1,-1.4,72,0,72,51.31,0.09,999,352,1
2019,1,1,15,0,249,379,437,4,0,0.278,60.28,1,7.8,-1.4,39,0,39,52.2,0.09,999,15,1
2019,1,1,16,0,189,285,293,4,0,0.276,68.48,1,7.3,-1.4,25,0,25,54.09,0.09,999,38,1
2019,1,1,17,0,92,146,121,4,3,0.274,78.45,1,5.9,0.9,11,0,11,70.17,0.09,1000,46,0.8
2019,1,1,18,0,0,0,0,4,0,0.273,89.27,1,4.1,0,0,0,0,74.45,0.09,1001,46,0.9
2019,1,1,19,0,0,0,0,4,0,0.272,101.69,1,3.3,-0.4,0,0,0,76.58,0.09,1002,46,1
2019,1,1,20,0,0,0,0,4,0,0.271,114.16,1,2.8,-0.7,0,0,0,77.7,0.09,1002,46,1
2019,1,1,21,0,0,0,0,4,0,0.271,126.97,1,2.4,-1,0,0,0,78.37,0.09,1003,50,1
2019,1,1,22,0,0,0,0,4,0,0.269,139.96,1,2.1,-1.2,0,0,0,78.64,0.09,1003,59,0.9
2019,1,1,23,0,0,0,0,4,0,0.266,152.98,1,1.8,-1.4,0,0,0,79.51,0.09,1003,78,0.9
2019,1,2,0,0,0,0,0,4,0,0.263,165.58,1,1.3,-1.7,0,0,0,80.71,0.09,1003,103,1
2019,1,2,1,0,0,0,0,4,0,0.26,173.39,1,0.8,-1.9,0,0,0,82.13,0.09,1002,124,1
2019,1,2,2,0,0,0,0,4,0,0.258,164.51,1,0.3,-2.1,0,0,0,83.65,0.09,1002,139,1
2019,1,2,3,0,0,0,0,4,0,0.255,151.82,1,-0.1,-2.3,0,0,0,85.17,0.09,1002,152,1
2019,1,2,4,0,0,0,0,4,0,0.253,138.8,1,-0.6,-2.4,0,0,0,87.43,0.09,1001,163,1
2019,1,2,5,0,0,0,0,4,0,0.251,125.81,1,-0.9,-2.5,0,0,0,88.67,0.09,1001,171,1
2019,1,2,6,0,0,0,0,4,0,0.251,113.02,1,-1,-2.6,0,0,0,88.87,0.09,1001,176,1
2019,1,2,7,0,0,0,0,4,0,0.25,100.58,1,-1.1,-2.7,0,0,0,89.09,0.09,1001,177,1.1
2019,1,2,8,0,6,12,6,4,3,0.249,88.32,1,0.2,-1.9,5,0,5,85.81,0.09,1002,174,1.1
2019,1,2,9,0,94,213,141,4,3,0.248,77.47,0.9,3.3,-1.2,57,0,57,72.12,0.09,1002,177,2
2019,1,2,10,0,166,383,312,4,0,0.248,67.62,0.9,6.1,-0.7,131,1,131,61.95,0.09,1002,190,1.6
2019,1,2,11,0,208,488,455,4,0,0.248,59.6,0.9,7.9,-0.5,203,33,220,55.26,0.09,1001,195,1.3
2019,1,2,12,0,228,546,547,4,0,0.249,54.27,0.9,8.9,-0.5,256,59,290,51.78,0.09,999,181,0.9
2019,1,2,13,0,231,573,580,4,0,0.25,52.48,0.9,9.6,-0.4,263,49,293,49.74,0.09,997,122,0.6
2019,1,2,14,0,216,574,548,4,0,0.251,54.58,0.9,10.1,-0.3,235,34,255,48.33,0.09,996,83,0.7
2019,1,2,15,0,191,528,454,4,0,0.252,60.15,0.9,10.2,-0.4,207,46,230,47.91,0.09,995,72,1.1
2019,1,2,16,0,150,430,309,4,0,0.252,68.34,0.9,9.7,-0.1,142,27,153,50.61,0.09,995,66,1.6
2019,1,2,17,0,87,252,138,4,3,0.251,78.31,0.9,7.2,2.3,58,0,58,70.96,0.09,995,55,1
