Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2019,1,1,0,0,0,0,0,4,0,0.257,171.82,0.5,2.5,-2.4,0,0,0,70.1,0.1,1033,9,1.2
2019,1,1,1,0,0,0,0,4,0,0.256,163.82,0.5,2.3,-2.4,0,0,0,71.24,0.1,1033,9,1.2
2019,1,1,2,0,0,0,0,3,0,0.254,151.58,0.5,2.1,-2.3,0,0,0,72.9,0.1,1033,15,1.4
2019,1,1,3,0,0,0,0,3,0,0.253,138.8,0.5,1.9,-2.1,0,0,0,74.75,0.1,1032,21,1.6
2019,1,1,4,0,0,0,0,1,0,0.252,126.02,0.5,1.7,-1.9,0,0,0,76.77,0.1,1032,26,1.8
2019,1,1,5,0,0,0,0,3,0,0.252,113.41,0.6,1.7,-1.7,0,0,0,77.94,0.1,1033,34,1.9
2019,1,1,6,0,0,0,0,1,0,0.251,101.16,0.6,1.8,-1.5,0,0,0,78.59,0.1,1033,42,1.8
2019,1,1,7,0,0,0,0,4,0,0.251,89.01,0.6,2.7,-0.8,0,0,0,78,0.1,1033,54,1.6
2019,1,1,8,0,83,337,150,4,3,0.256,78.48,0.9,3.9,0.4,49,0,49,77.66,0.1,1037,351,5.2
2019,1,1,9,0,124,551,323,4,0,0.257,68.87,0.9,4.9,0.1,144,47,161,71.06,0.1,1038,350,5.2
2019,1,1,10,0,146,666,468,4,0,0.259,61.09,0.9,5.6,0.2,211,89,255,68.07,0.1,1037,346,5.2
2019,1,1,11,0,194,612,537,4,0,0.261,55.96,0.9,6,0.3,216,23,229,66.63,0.1,1036,344,5.3
2019,1,1,12,0,197,640,571,4,0,0.264,54.25,0.8,6.1,0.2,241,38,263,66.13,0.1,1035,343,5.4
2019,1,1,13,0,184,633,536,4,0,0.267,56.27,0.8,6.2,0.1,244,70,283,64.77,0.1,1034,346,5.5
2019,1,1,14,0,160,589,440,4,0,0.27,61.66,0.8,6,-0.3,180,21,190,64.15,0.1,1035,352,5.6
2019,1,1,15,0,124,492,295,0,0,0.271,69.62,0.8,5.5,-0.5,124,492,295,65.1,0.1,1035,359,5.5
2019,1,1,16,0,71,302,127,1,0,0.271,79.36,0.7,4.3,-0.2,71,302,127,72.72,0.1,1035,8,4.5
2019,1,1,17,0,0,0,0,0,0,0.271,89.85,0.7,2.9,-0.3,0,0,0,79.24,0.1,1036,15,3.9
2019,1,1,18,0,0,0,0,0,0,0.271,102.2,0.7,2.4,-0.5,0,0,0,80.91,0.1,1036,18,3.8
2019,1,1,19,0,0,0,0,0,0,0.272,114.49,0.7,2,-0.8,0,0,0,82,0.1,1036,18,3.6
2019,1,1,20,0,0,0,0,0,0,0.273,127.12,0.7,1.7,-0.9,0,0,0,82.76,0.1,1036,16,3.5
2019,1,1,21,0,0,0,0,0,0,0.275,139.91,0.7,1.5,-1,0,0,0,83.17,0.1,1036,12,3.3
2019,1,1,22,0,0,0,0,7,0,0.275,152.66,0.8,1.3,-1.1,0,0,0,84.03,0.1,1036,9,3.3
2019,1,1,23,0,0,0,0,7,0,0.275,164.78,0.9,1.3,-1.1,0,0,0,84.27,0.1,1036,5,3.2
2019,1,2,0,0,0,0,0,7,0,0.274,171.73,1,1.4,-0.9,0,0,0,84.39,0.1,1036,4,3.2
2019,1,2,1,0,0,0,0,7,0,0.274,163.88,1.2,1.8,-0.7,0,0,0,83.66,0.1,1036,10,3.4
2019,1,2,2,0,0,0,0,4,0,0.274,151.66,1.3,1.9,-0.5,0,0,0,84,0.1,1035,7,3.4
2019,1,2,3,0,0,0,0,4,0,0.275,138.89,1.3,1.8,-0.5,0,0,0,84.82,0.1,1035,7,3.5
2019,1,2,4,0,0,0,0,4,0,0.275,126.1,1.3,1.8,-0.5,0,0,0,84.95,0.1,1034,5,3.6
2019,1,2,5,0,0,0,0,4,0,0.276,113.49,1.3,1.8,-0.4,0,0,0,85.58,0.1,1035,4,3.7
2019,1,2,6,0,0,0,0,4,0,0.276,101.23,1.3,1.9,-0.2,0,0,0,85.72,0.1,1035,6,3.7
2019,1,2,7,0,0,0,0,4,0,0.275,89.06,1.3,2.5,0.2,0,0,0,84.79,0.1,1036,10,3.8
2019,1,2,8,0,84,218,127,4,3,0.276,78.5,1.3,3.8,0.5,44,0,44,78.88,0.1,1036,16,4.7
2019,1,2,9,0,151,395,293,4,0,0.277,68.87,1.3,4.7,0.5,150,95,184,74.16,0.1,1036,25,4.8
2019,1,2,10,0,191,492,429,4,0,0.278,61.07,1.3,5.3,0.6,203,56,231,71.82,0.1,1035,31,4.4
2019,1,2,11,0,226,516,516,4,0,0.277,55.91,1.3,5.7,0.7,258,181,359,70.13,0.1,1034,32,4
2019,1,2,12,0,236,525,544,4,0,0.275,54.16,1.3,6,0.6,186,4,188,68.49,0.1,1033,32,3.6
2019,1,2,13,0,228,506,510,7,0,0.273,56.16,1.3,6.1,0.6,238,53,267,67.84,0.1,1033,33,3.6
2019,1,2,14,0,230,374,408,7,0,0.272,61.53,1.3,6.2,0.6,204,70,237,67.23,0.1,1033,34,3.6
2019,1,2,15,0,173,273,269,6,0,0.272,69.49,1.4,6,0.7,127,9,130,68.66,0.1,1033,35,3.7
2019,1,2,16,0,81,128,105,7,3,0.271,79.22,1.4,5.3,1.5,27,0,27,76.4,0.1,1033,36,3
2019,1,2,17,0,0,0,0,7,0,0.271,89.74,1.4,4.5,1.4,0,0,0,80.26,0.1,1033,36,2.9
2019,1,2,18,0,0,0,0,7,0,0.27,102.06,1.5,4.4,1.4,0,0,0,80.85,0.1,1034,36,2.9
2019,1,2,19,0,0,0,0,7,0,0.269,114.36,1.6,4.4,1.4,0,0,0,81.08,0.1,1034,36,2.7
2019,1,2,20,0,0,0,0,4,0,0.269,126.98,1.6,4.3,1.4,0,0,0,81.62,0.1,1034,34,2.4
2019,1,2,21,0,0,0,0,4,0,0.269,139.78,1.7,4.2,1.4,0,0,0,82.12,0.1,1033,32,2.2
2019,1,2,22,0,0,0,0,4,0,0.266,152.53,1.7,4,1.4,0,0,0,83.08,0.1,1033,32,2.1
2019,1,2,23,0,0,0,0,4,0,0.263,164.64,1.7,4,1.3,0,0,0,82.84,0.1,1033,31,2.1
2019,1,3,0,0,0,0,0,4,0,0.261,171.65,1.7,4,1.3,0,0,0,82.76,0.1,1033,32,2.1
2019,1,3,1,0,0,0,0,4,0,0.257,163.92,1.6,4,1.3,0,0,0,82.57,0.1,1033,33,2.2
2019,1,3,2,0,0,0,0,4,0,0.254,151.72,1.6,4,1.3,0,0,0,82.39,0.1,1033,34,2.3
