Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2019,1,1,0,0,0,0,0,3,0,0.233,173.82,2.6,16.7,13.5,0,0,0,81.32,0.13,1029,56,3.5
2019,1,1,1,0,0,0,0,3,0,0.232,172.32,2.6,16.4,13.2,0,0,0,81.31,0.13,1028,59,3.4
2019,1,1,2,0,0,0,0,3,0,0.232,158.53,2.6,16.2,13,0,0,0,81.42,0.13,1028,62,3.4
2019,1,1,3,0,0,0,0,3,0,0.231,144.79,2.7,16,12.9,0,0,0,81.71,0.13,1028,66,3.4
2019,1,1,4,0,0,0,0,3,0,0.23,131.15,2.7,15.9,12.8,0,0,0,81.59,0.13,1028,71,3.6
2019,1,1,5,0,0,0,0,3,0,0.23,117.68,2.7,15.7,12.7,0,0,0,82.41,0.13,1028,75,3.8
2019,1,1,6,0,0,0,0,3,0,0.23,104.45,2.6,15.5,12.7,0,0,0,83.39,0.13,1029,76,4.1
2019,1,1,7,0,0,0,0,3,0,0.229,91.59,2.6,15.8,12.7,0,0,0,81.6,0.13,1029,75,4.6
2019,1,1,8,0,75,289,129,3,3,0.221,79.23,3,9.5,5.7,44,0,44,77.32,0.13,1032,17,6.6
2019,1,1,9,0,126,524,323,3,3,0.221,67.86,3,10.9,6,25,0,25,71.53,0.13,1032,18,6.6
2019,1,1,10,0,152,653,499,2,0,0.222,57.9,3,12.6,6.4,229,287,381,66.01,0.13,1031,19,6.5
2019,1,1,11,0,158,736,629,3,0,0.222,50.23,3.1,14.2,7,298,96,360,62.03,0.13,1030,17,6.1
2019,1,1,12,0,165,763,694,3,0,0.223,46.02,3.1,15.3,7.7,273,26,291,60.44,0.13,1029,14,5.7
2019,1,1,13,0,165,758,689,3,0,0.223,46.24,3.2,16.2,8.3,320,75,372,59.52,0.13,1028,11,5.4
2019,1,1,14,0,179,679,608,3,0,0.222,50.83,3.3,16.6,8.8,301,167,406,60.08,0.13,1027,9,5.3
2019,1,1,15,0,162,606,476,3,0,0.221,58.77,3.3,16.5,9.2,223,279,368,62.18,0.13,1027,9,5.3
2019,1,1,16,0,129,475,299,3,0,0.221,68.9,3.4,16.1,9.5,145,237,230,64.9,0.13,1028,10,5.2
2019,1,1,17,0,69,239,109,3,1,0.221,80.36,3.4,15.3,9.6,36,0,36,68.8,0.13,1029,10,5.1
2019,1,1,18,0,0,0,0,3,0,0.222,92.82,3.4,14.5,9.5,0,0,0,71.9,0.13,1029,8,5.6
2019,1,1,19,0,0,0,0,3,0,0.222,105.73,3.4,13.5,9,0,0,0,74.33,0.13,1030,11,6.3
2019,1,1,20,0,0,0,0,3,0,0.223,118.99,3.5,12.3,8.4,0,0,0,77.05,0.13,1030,14,6.7
2019,1,1,21,0,0,0,0,3,0,0.222,132.48,3.5,11.3,7.8,0,0,0,79.1,0.13,1030,14,6.9
2019,1,1,22,0,0,0,0,3,0,0.222,146.14,3.5,10.5,7.4,0,0,0,80.89,0.13,1030,13,7
2019,1,1,23,0,0,0,0,4,0,0.221,159.89,3.6,10.1,7.1,0,0,0,81.47,0.13,1030,12,6.9
2019,1,2,0,0,0,0,0,4,0,0.221,173.69,3.6,9.9,7,0,0,0,82.2,0.13,1030,10,6.6
2019,1,2,1,0,0,0,0,4,0,0.221,172.46,3.7,9.8,7,0,0,0,82.88,0.13,1029,9,6.5
2019,1,2,2,0,0,0,0,4,0,0.221,158.66,3.7,9.7,7.1,0,0,0,83.67,0.13,1029,10,6.4
2019,1,2,3,0,0,0,0,4,0,0.221,144.91,3.8,9.6,7.1,0,0,0,84.4,0.13,1029,12,6.2
2019,1,2,4,0,0,0,0,4,0,0.221,131.27,3.8,9.6,7.2,0,0,0,84.71,0.13,1029,14,6.1
2019,1,2,5,0,0,0,0,4,0,0.221,117.79,3.8,9.5,7.2,0,0,0,85.68,0.13,1029,17,6.1
2019,1,2,6,0,0,0,0,4,0,0.222,104.55,3.8,9.4,7.2,0,0,0,86.38,0.13,1029,19,6.2
2019,1,2,7,0,0,0,0,4,0,0.221,91.67,3.7,9.5,7.2,0,0,0,85.73,0.13,1030,17,6.2
2019,1,2,8,0,75,265,125,4,3,0.222,79.28,3.7,10,7.2,36,0,36,83,0.12,1030,15,6.4
2019,1,2,9,0,129,498,316,3,0,0.222,67.9,3.6,10.8,7.4,24,0,24,79.68,0.12,1031,13,6.4
2019,1,2,10,0,157,625,489,3,0,0.222,57.91,3.6,12,7.8,179,6,182,75.23,0.12,1030,9,6.3
2019,1,2,11,0,174,690,616,4,0,0.221,50.2,3.6,13.2,8.2,221,12,228,71.87,0.12,1029,7,6.2
2019,1,2,12,0,182,719,682,3,0,0.22,45.96,3.6,14.1,8.8,321,73,372,70.36,0.12,1028,6,6.1
2019,1,2,13,0,180,719,678,4,0,0.219,46.14,3.7,14.8,9.3,306,52,343,69.67,0.12,1027,5,6
2019,1,2,14,0,171,690,608,4,0,0.218,50.71,3.7,15.2,9.7,85,0,85,69.69,0.12,1026,5,6
2019,1,2,15,0,153,625,478,4,0,0.217,58.64,3.7,15.4,10,216,44,238,70,0.12,1026,6,5.9
2019,1,2,16,0,122,500,303,4,0,0.216,68.77,3.7,15.3,10.1,85,0,85,71.07,0.12,1026,9,5.8
2019,1,2,17,0,67,261,112,4,3,0.216,80.23,3.8,14.8,10.2,8,0,8,73.71,0.12,1027,11,5.4
2019,1,2,18,0,0,0,0,4,0,0.217,92.69,3.8,14.2,10.1,0,0,0,76.53,0.12,1028,13,5.4
2019,1,2,19,0,0,0,0,3,0,0.217,105.6,3.8,13.7,9.9,0,0,0,77.9,0.12,1028,16,5.6
