Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2020,1,1,0,0,0,0,0,0,0,0.254,171.72,0.3,-4.5,-7.9,0,0,0,76.89,0.1,1033,294,2
2020,1,1,1,0,0,0,0,0,0,0.254,164.5,0.3,-4.6,-7.9,0,0,0,77.82,0.1,1033,294,2
2020,1,1,2,0,0,0,0,0,0,0.255,152.36,0.3,-4.6,-7.9,0,0,0,77.99,0.1,1032,293,2
2020,1,1,3,0,0,0,0,0,0,0.255,139.61,0.2,-4.7,-7.8,0,0,0,78.63,0.1,1032,289,1.7
2020,1,1,4,0,0,0,0,0,0,0.256,126.82,0.2,-4.7,-7.8,0,0,0,78.62,0.1,1031,282,1.5
2020,1,1,5,0,0,0,0,0,0,0.257,114.21,0.2,-4.7,-7.8,0,0,0,78.81,0.1,1031,268,1.4
2020,1,1,6,0,0,0,0,0,0,0.257,101.93,0.2,-4.7,-7.8,0,0,0,79.15,0.1,1031,256,1.5
2020,1,1,7,0,0,0,0,0,0,0.256,89.63,0.2,-3.9,-7.8,0,0,0,74.46,0.1,1031,245,2.3
2020,1,1,8,0,62,458,148,0,0,0.25,79.11,0.7,2.6,-2,62,458,148,71.63,0.1,1034,107,2.4
2020,1,1,9,0,95,651,324,0,0,0.25,69.43,0.8,4.6,-1.8,95,651,324,63.33,0.1,1034,125,2.8
2020,1,1,10,0,118,741,471,4,0,0.25,61.54,0.8,6.3,-1.5,211,140,278,57.56,0.1,1034,140,2.9
2020,1,1,11,0,175,644,532,4,3,0.251,56.24,0.9,7.6,-1.2,251,98,306,53.51,0.1,1033,146,2.8
2020,1,1,12,0,181,657,565,4,0,0.251,54.32,0.9,8.5,-1,269,211,392,51.13,0.1,1031,143,2.7
2020,1,1,13,0,179,635,533,0,0,0.252,56.14,1,9.1,-0.7,179,635,533,50.23,0.1,1030,136,2.7
2020,1,1,14,0,167,561,436,0,0,0.252,61.35,1.1,9.3,-0.2,167,561,436,51.4,0.1,1030,131,2.7
2020,1,1,15,0,137,449,297,0,0,0.253,69.18,1.1,8.9,0.3,137,449,297,54.91,0.1,1029,126,2.7
2020,1,1,16,0,79,262,130,0,1,0.253,78.82,1.2,6.7,1.9,79,262,130,71.41,0.1,1029,119,1.8
2020,1,1,17,0,0,0,0,0,0,0.253,89.34,1.4,4.7,1.5,0,0,0,79.6,0.1,1029,115,1.9
2020,1,1,18,0,0,0,0,4,0,0.253,101.54,1.4,4.6,1.9,0,0,0,82.86,0.1,1030,114,2.1
