Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2020,1,1,0,0,0,0,0,1,0,0.341,163.65,0.2,-9.1,-15.7,0,0,0,58.63,0.12,1027,272,2
2020,1,1,1,0,0,0,0,0,0,0.337,161.26,0.2,-9.7,-16.3,0,0,0,58.7,0.12,1027,298,2
2020,1,1,2,0,0,0,0,1,0,0.333,152.46,0.2,-10.5,-16.8,0,0,0,59.74,0.12,1027,321,2.1
2020,1,1,3,0,0,0,0,1,0,0.332,141.52,0.2,-11.2,-17.1,0,0,0,61.73,0.12,1026,332,2.3
2020,1,1,4,0,0,0,0,0,0,0.332,129.97,0.2,-11.7,-17.1,0,0,0,64.22,0.12,1026,341,2.4
2020,1,1,5,0,0,0,0,0,0,0.333,118.36,0.2,-12,-17.1,0,0,0,66.07,0.12,1026,358,2.2
2020,1,1,6,0,0,0,0,0,0,0.334,106.98,0.3,-12.2,-16.9,0,0,0,67.72,0.12,1026,25,2.1
2020,1,1,7,0,0,0,0,0,0,0.332,96.08,0.3,-12.2,-16.6,0,0,0,69.92,0.12,1026,46,2
2020,1,1,8,0,26,135,36,0,0,0.311,85.73,0.4,-8.4,-13.8,26,135,36,64.88,0.14,1033,18,0.9
2020,1,1,9,0,78,427,175,0,0,0.311,76.89,0.4,-6.6,-14.7,78,427,175,52.65,0.14,1033,8,1.1
2020,1,1,10,0,109,578,310,0,0,0.311,69.58,0.4,-3.6,-15.8,109,578,310,38.25,0.14,1033,260,0.9
2020,1,1,11,0,139,591,394,0,0,0.312,64.49,0.4,-1.3,-16.3,139,591,394,30.88,0.14,1032,249,1.2
2020,1,1,12,0,147,621,437,0,0,0.313,62.19,0.4,-0.3,-15.9,147,621,437,29.79,0.14,1031,252,0.9
2020,1,1,13,0,144,612,422,0,0,0.313,63,0.4,0.3,-15.5,144,612,422,29.56,0.14,1030,247,0.7
2020,1,1,14,0,130,559,351,0,0,0.314,66.81,0.4,0.4,-15,130,559,351,30.42,0.14,1030,192,0.8
2020,1,1,15,0,103,452,234,0,0,0.315,73.13,0.4,0.1,-12,103,452,234,39.78,0.14,1030,164,0.8
2020,1,1,16,0,55,251,93,0,1,0.316,81.33,0.4,-1.2,-10.8,55,251,93,48.23,0.14,1030,146,0.7
2020,1,1,17,0,0,0,0,0,0,0.318,91.06,0.4,-1.8,-12,0,0,0,45.62,0.14,1031,134,0.8
2020,1,1,18,0,0,0,0,0,0,0.318,101.62,0.4,-2.1,-11.9,0,0,0,47.12,0.14,1031,130,0.9
2020,1,1,19,0,0,0,0,0,0,0.318,112.79,0.4,-2.3,-12,0,0,0,47.43,0.14,1031,125,0.9
2020,1,1,20,0,0,0,0,0,0,0.317,124.32,0.4,-2.3,-12,0,0,0,47.4,0.14,1031,119,0.9
2020,1,1,21,0,0,0,0,0,0,0.317,135.94,0.4,-2.3,-12.2,0,0,0,46.55,0.14,1032,120,0.7
