Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2020,1,1,0,0,0,0,0,0,0,0.257,170.46,0.3,-1.6,-9.2,0,0,0,55.98,0.14,1029,271,1.4
2020,1,1,1,0,0,0,0,0,0,0.258,169.32,0.3,-1.8,-9,0,0,0,58.05,0.14,1029,260,1.4
2020,1,1,2,0,0,0,0,0,0,0.259,157.79,0.3,-2.1,-8.6,0,0,0,60.86,0.14,1028,249,1.4
2020,1,1,3,0,0,0,0,0,0,0.259,145.03,0.3,-2.3,-8.3,0,0,0,63.36,0.14,1028,243,1.4
2020,1,1,4,0,0,0,0,0,0,0.258,132.13,0.4,-2.5,-8.1,0,0,0,65.66,0.14,1027,240,1.4
2020,1,1,5,0,0,0,0,0,0,0.259,119.34,0.4,-2.6,-7.8,0,0,0,67.67,0.14,1027,237,1.3
2020,1,1,6,0,0,0,0,0,0,0.26,106.82,0.5,-2.8,-7.4,0,0,0,70.52,0.14,1027,231,1.3
2020,1,1,7,0,0,0,0,0,0,0.261,94.74,0.5,-2.6,-6.7,0,0,0,73.58,0.14,1027,221,1.3
2020,1,1,8,0,48,67,56,4,3,0.242,83.16,1.7,2.8,-3,6,0,6,65.8,0.1,1027,126,3
2020,1,1,9,0,148,240,219,4,0,0.242,72.85,1.8,4.1,-3,17,0,17,60.05,0.1,1028,128,3.2
2020,1,1,10,0,209,362,367,4,0,0.242,64.01,1.9,5.9,-2.8,53,0,53,53.8,0.1,1027,134,3.1
2020,1,1,11,0,245,432,478,4,3,0.243,57.43,2,7.2,-2,204,20,215,52.16,0.1,1026,148,2.7
2020,1,1,12,0,265,456,534,4,0,0.243,53.97,2,7.8,-0.7,69,0,69,54.94,0.1,1025,163,2.2
2020,1,1,13,0,273,440,530,4,0,0.244,54.22,2.1,7.8,0.5,117,0,117,59.98,0.1,1024,171,1.8
2020,1,1,14,0,262,378,462,4,0,0.244,58.14,2.1,7.7,1.4,45,0,45,64.17,0.1,1023,165,1.2
2020,1,1,15,0,222,283,341,4,0,0.244,65.06,2.1,7.4,1.9,30,0,30,68.02,0.1,1023,130,0.8
2020,1,1,16,0,140,160,184,4,1,0.244,74.13,2.1,6.9,2.6,16,0,16,73.89,0.1,1023,82,1
2020,1,1,17,0,27,26,30,4,3,0.243,84.58,2.1,6,3.6,5,0,5,84.83,0.1,1023,58,1.1
2020,1,1,18,0,0,0,0,4,0,0.243,96.25,2.1,5.6,3.6,0,0,0,86.96,0.1,1024,55,1.5
2020,1,1,19,0,0,0,0,4,0,0.243,108.4,2,5.4,3.6,0,0,0,88.36,0.1,1024,53,1.7
2020,1,1,20,0,0,0,0,4,0,0.243,120.96,2,5.2,3.7,0,0,0,90.23,0.1,1024,51,1.6
2020,1,1,21,0,0,0,0,4,0,0.243,133.77,2,5,3.8,0,0,0,91.99,0.1,1024,48,1.5
2020,1,1,22,0,0,0,0,4,0,0.243,146.66,2,4.9,3.8,0,0,0,92.8,0.1,1024,48,1.4
2020,1,1,23,0,0,0,0,4,0,0.244,159.37,2,4.7,3.8,0,0,0,94,0.1,1024,44,1.3
2020,1,2,0,0,0,0,0,4,0,0.244,170.43,2,4.6,3.8,0,0,0,94.51,0.1,1024,39,1.1
2020,1,2,1,0,0,0,0,4,0,0.244,169.33,2,4.5,3.7,0,0,0,94.85,0.1,1024,27,1.2
2020,1,2,2,0,0,0,0,4,0,0.243,157.81,2,4.4,3.7,0,0,0,95,0.1,1024,14,1.4
2020,1,2,3,0,0,0,0,4,0,0.243,145.05,2,4.4,3.5,0,0,0,93.74,0.1,1024,9,1.8
2020,1,2,4,0,0,0,0,4,0,0.242,132.15,2,4.2,3.1,0,0,0,92.82,0.1,1024,9,2.1
2020,1,2,5,0,0,0,0,4,0,0.241,119.36,1.9,3.9,2.7,0,0,0,92.13,0.1,1024,12,2.2
2020,1,2,6,0,0,0,0,4,0,0.24,106.84,1.9,3.7,2.4,0,0,0,91.28,0.1,1025,18,2
2020,1,2,7,0,0,0,0,4,0,0.239,94.75,1.8,3.6,2.2,0,0,0,90.88,0.1,1025,20,1.8
2020,1,2,8,0,38,40,42,4,3,0.239,83.2,1.8,4.2,2.2,6,0,6,86.9,0.1,1026,19,2.1
2020,1,2,9,0,150,175,202,4,0,0.239,72.87,1.8,6.1,2.4,18,0,18,77.19,0.1,1026,19,1.6
